"Story","Title","Result","Date","Stability","Duration (s)"
"register test","Successful Registration","SUCCESS","2024-07-07T12:19:49.4538788-05:00[America/Bogota]","0.0","28.03"
"register test","Successful Login","SUCCESS","2024-07-07T12:23:32.9597985-05:00[America/Bogota]","0.0","12.83"
"register test","Login without Username","ERROR","2024-07-07T12:23:59.6439619-05:00[America/Bogota]","0.0","12.53"
"register test","Failed Login with Incorrect Password","ERROR","2024-07-07T12:27:28.1472303-05:00[America/Bogota]","0.0","17.87"
